0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
20,6.7,6.2,6.15,6.1,5.95,6.64,6.48,6.27,6.06,5.79,5.58,5.34,5.05,4.83,4.53,4.27,4.05,3.8,3.58,3.33,3.16,2.97,2.81,2.65,2.51,2.4,2.31,2.27,2.24
19,7.21,6.28,6.26,6.18,6.05,6.67,6.54,6.32,6.1,5.81,5.64,5.36,5.1,4.85,4.44,4.26,4.05,3.82,3.54,3.33,3.14,2.95,2.75,2.6,2.44,2.35,2.27,2.22,2.2
18,6.8,6.2,6.36,6.28,6.18,6.74,6.62,6.4,6.15,5.87,5.62,5.39,5.14,4.82,4.47,4.25,4.03,3.77,3.53,3.27,3.08,2.9,2.68,2.52,2.38,2.26,2.18,2.14,2.11
17,6.86,6.49,6.51,6.38,6.25,6.88,6.64,6.48,6.21,5.97,5.65,5.37,5.17,4.86,4.56,4.27,4.03,3.78,3.49,3.22,3.04,2.8,2.57,2.4,2.26,2.16,2.06,2.01,2
16,7.05,6.6,6.53,6.49,6.35,7,6.81,6.53,6.33,5.98,5.72,5.42,5.16,4.87,4.54,4.25,4.03,3.76,3.49,3.16,2.92,2.69,2.46,2.27,2.11,2,1.89,1.86,1.86
15,7.33,6.8,6.78,7.58,7.1,7.2,6.96,6.72,6.42,6.11,5.74,5.46,5.19,4.88,4.54,4.28,3.98,3.7,3.43,3.08,2.8,2.55,2.22,2.04,1.86,1.75,1.68,1.65,1.65
14,7.58,7.04,7.02,7.84,7.56,7.41,7.13,6.88,6.57,6.23,5.93,5.5,5.22,4.92,4.57,4.24,3.97,3.64,3.34,2.97,2.7,2.4,2,1.73,1.57,1.48,1.41,1.43,1.42
13,7.81,7.25,7.21,8.15,7.95,7.73,7.48,7.03,6.7,6.26,6.02,5.58,5.25,4.89,4.51,4.23,3.95,3.59,3.26,2.88,2.56,2.17,1.7,1.38,1.22,1.14,1.13,1.19,1.22
12,7.88,7.49,7.54,8.72,8.2,8.47,7.89,7.31,6.81,6.39,6,5.57,5.27,4.94,4.54,4.2,3.86,3.55,3.17,2.8,2.47,1.9,1.34,0.94,0.66,0.72,0.84,0.96,1.01
11,8.13,7.5,7.91,9.6,9.51,9.3,8.32,7.55,6.96,6.48,5.99,5.66,5.3,4.97,4.55,4.21,3.89,3.56,3.15,2.77,2.33,1.77,1.04,0.27,0.08,0.23,0.58,0.8,0.87
10,3.83,7.6,8.14,9.72,10,8.33,8.34,7.28,6.9,6.43,5.9,5.46,5.28,4.97,4.51,4.19,3.82,3.53,3.19,2.83,2.29,1.64,0.71,0.15,0,0.05,0.51,0.76,0.86
9,8.1,7.73,8.05,8.2,9.77,9.2,8.12,7.48,6.84,6.52,6.04,5.62,5.33,4.97,4.48,4.27,3.87,3.64,3.27,2.94,2.49,2,1.25,0.61,0.12,0.35,0.65,0.85,0.96
8,7.98,7.45,7.5,6.9,8.44,8.12,7.78,7.35,6.72,6.42,6.01,5.62,5.32,4.96,4.62,4.26,3.95,3.68,3.34,2.97,2.61,2.21,1.7,1.39,1.13,1.02,1.08,1.13,1.17
7,6.8,7.25,7.3,6.25,8.06,7.76,7.47,7.16,6.67,6.33,5.99,5.61,5.27,4.97,4.63,4.33,4,3.72,3.4,3.09,2.75,2.4,2.03,1.8,1.55,1.46,1.44,1.38,1.39
6,7.35,7.07,6.97,6.35,7.64,7.49,7.25,6.86,6.58,6.29,5.95,5.63,5.28,4.96,4.61,4.36,4.03,3.78,3.49,3.19,2.91,2.58,2.28,2.13,1.89,1.79,1.71,1.66,1.62
5,6.7,6.91,6.86,6.23,7.44,7.27,7.03,6.78,6.5,6.19,5.95,5.53,5.26,4.98,4.65,4.42,4.08,3.81,3.54,3.28,3.01,2.76,2.5,2.34,2.16,2.01,1.95,1.89,1.85
4,7.02,6.76,6.59,6.41,7.22,7.04,6.81,6.59,6.39,6.11,5.77,5.55,5.24,4.98,4.62,4.4,4.1,3.85,3.6,3.33,3.09,2.88,2.65,2.5,2.33,2.22,2.12,2.09,2.06
3,6.83,6.59,6.55,6.43,7.11,6.93,6.72,6.54,6.31,6.07,5.75,5.5,5.23,4.96,4.64,4.4,4.16,3.88,3.63,3.41,3.18,2.99,2.82,2.64,2.47,2.38,2.29,2.24,2.21
2,6.98,7.27,6.55,6.35,6.97,6.79,6.63,6.38,6.23,5.99,5.73,5.47,5.23,4.98,4.65,4.41,4.17,3.94,3.68,3.45,3.26,3.07,2.88,2.75,2.6,2.5,2.41,2.36,2.34
1,6.89,6.38,6.83,6.31,6.85,6.7,6.57,6.38,6.2,5.98,5.7,5.43,5.24,4.98,4.66,4.41,4.17,3.95,3.72,3.5,3.31,3.14,2.96,2.81,2.7,2.58,2.51,2.46,2.43
0,7.21,6.27,6.26,6.3,6.78,6.67,6.52,6.36,6.17,5.96,5.7,5.45,5.23,4.98,4.7,4.41,4.19,3.99,3.73,3.51,3.33,3.17,2.98,2.85,2.74,2.63,2.57,2.49,2.47
