Year,m,d,Time,Time zone,Air temperature (degC)
2022,12,9,00:00,UTC,-3.4
2022,12,9,00:10,UTC,-3.8
2022,12,9,00:20,UTC,-3.5
2022,12,9,00:30,UTC,-3.6
2022,12,9,00:40,UTC,-3.8
2022,12,9,00:50,UTC,-4.1
2022,12,9,01:00,UTC,-4.4
2022,12,9,01:10,UTC,-4.8
2022,12,9,01:20,UTC,-4.7
2022,12,9,01:30,UTC,-3.3
2022,12,9,01:40,UTC,-2.8
2022,12,9,01:50,UTC,-2.1
2022,12,9,02:00,UTC,-2.4
2022,12,9,02:10,UTC,-2.1
2022,12,9,02:20,UTC,-2.1
2022,12,9,02:30,UTC,-2.1
2022,12,9,02:40,UTC,-2.5
2022,12,9,02:50,UTC,-2.6
2022,12,9,03:00,UTC,-2.6
2022,12,9,03:10,UTC,-2.5
2022,12,9,03:20,UTC,-2.6
2022,12,9,03:30,UTC,-2.9
2022,12,9,03:40,UTC,-2.8
2022,12,9,03:50,UTC,-2.7
2022,12,9,04:00,UTC,-3
2022,12,9,04:10,UTC,-2.7
2022,12,9,04:20,UTC,-2.8
2022,12,9,04:30,UTC,-2.9
2022,12,9,04:40,UTC,-3.2
2022,12,9,04:50,UTC,-3.6
2022,12,9,05:00,UTC,-3.8
2022,12,9,05:10,UTC,-3.6
2022,12,9,05:20,UTC,-4.2
2022,12,9,05:30,UTC,-4.2
2022,12,9,05:40,UTC,-3.9
2022,12,9,05:50,UTC,-4.3
2022,12,9,06:00,UTC,-4
2022,12,9,06:10,UTC,-4.2
2022,12,9,06:20,UTC,-4.3
2022,12,9,06:30,UTC,-4.8
2022,12,9,06:40,UTC,-4.5
2022,12,9,06:50,UTC,-4.6
2022,12,9,07:00,UTC,-4.9
2022,12,9,07:10,UTC,-5.2
2022,12,9,07:20,UTC,-5
2022,12,9,07:30,UTC,-5
2022,12,9,07:40,UTC,-5
2022,12,9,07:50,UTC,-4.5
2022,12,9,08:00,UTC,-5.4
2022,12,9,08:10,UTC,-5.1
2022,12,9,08:20,UTC,-5.4
2022,12,9,08:30,UTC,-5.3
2022,12,9,08:40,UTC,-5.4
2022,12,9,08:50,UTC,-5.6
